PostNumber,PostLink,Title,Author,Total_Replies,Total_Weight,Symptom,Treatment,Bodypart
1,https://connect.mayoclinic.org/discussion/covid-vaccines-and-neuropathy/,covid vaccines and neuropathy,cue @cue,146,7350,"['Migraine Disorders', 'Communicable Diseases', 'Small Fiber Neuropathy', 'Acquired disease', 'Common Cold', 'Herpes zoster disease', 'Pneumocystis jiroveci pneumonia', 'Coronavirus Infections', 'Pyotraumatic dermatitis', 'Lichen Planus', 'Liver Cirrhosis', 'Idiopathic peripheral neuropathy', 'Neuropathy', 'Erythromelalgia', 'Disease', 'Painful Bladder Syndrome', 'Heartburn', 'Upper Extremity Paresis', 'Numbness of foot', 'Malaise', 'Fatigue', 'Burning sensation', 'Headache', 'Pain', 'Nervousness', 'nasal itching', 'Numbness', 'SHOULDER TENDERNESS', 'Perceived quality of life', 'Illness (finding)', 'Nausea', 'Flare', 'Pruritus', 'Has tingling sensation', 'Burning sensation of leg', 'local reaction', 'Arm Pain', 'Burning feet', 'Sore to touch', 'Chills', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Application of ice packs', 'Transplantation', 'Chemotherapy Regimen', 'Tooth Extraction', 'Administration procedure', 'gene therapy', 'Incision and drainage', 'Discussion (procedure)', 'Neurostimulation procedures of spinal cord tissue', 'Childhood Immunization', 'Root Canal Therapy', 'DRUGS', 'Liquid diet', 'Treatment Protocols', 'Injection of therapeutic agent', 'Adoptive Immunotherapy', 'Primary operation', 'Vaccination', 'Injection procedure', 'Therapeutic procedure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
2,https://connect.mayoclinic.org/discussion/lets-go-walking-join-me-for-a-virtual-walking-support-group/,lets go walking! join me for a virtual walking support group,"becky, volunteer mentor @becsbuddy",300,15025,"['Diabetes Mellitus, Non-Insulin-Dependent', 'Potassium aggravated myotonia', 'Digitorenocerebral Syndrome', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Chronic venous insufficiency', 'Myopathy', 'Bursitis of hip', 'Lung diseases', 'Bursitis', 'Transient Ischemic Attack', 'Infantile Neuroaxonal Dystrophy', 'Arthritis, Psoriatic', 'Inflammation of joint of foot', 'Chronic Kidney Diseases', 'Autoimmune Diseases', 'Radiation Damage', 'Disease', 'Steroid-induced myopathy', 'Painful Bladder Syndrome', 'Seizures', 'Illness (finding)', 'Tired', 'out (of) breath', 'Agitation', 'Fatigue', 'Tenalgia', 'Myalgia', 'Pain', 'Depressed - symptom', 'Back Pain', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Knee Replacement Arthroplasty (procedure)', 'Back exercises', 'Bench press', 'Exercise, Aerobic', 'Bortezomib/Dexamethasone/Pegylated Liposomal Doxorubicin Regimen', 'cyclophosphamide/doxorubicin/etoposide/interleukin-2', 'Radiation treatment', 'Exercise class', 'Removal by grinding', 'Discussion (procedure)', 'Reconstructive Surgical Procedures', 'Cardiac Lead Procedure', '5 minutes Office visit', 'Physical therapy exercises', 'Bone Marrow Transplantation', 'Yoga', 'Special Diet Therapy', 'ECHO protocol', 'Chemotherapy Regimen', 'Supervision (regime/therapy)', 'Incision and drainage', 'Reminding', 'Boot traction', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', 'Therapeutic procedure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
3,https://connect.mayoclinic.org/discussion/to-vaccinate-or-not-to-vaccinate-that-is-the-question/,to vaccinate or not to vaccinate? that is the question.,silverwoman @silverwoman,300,15016.66667,"['Communicable Diseases', 'Cystitis', 'Influenza', 'Rare Diseases', 'Herpes zoster disease', 'Septicemia', 'Pneumocystis jiroveci pneumonia', 'Hepatic methionine adenosyltransferase deficiency', 'Infantile Neuroaxonal Dystrophy', 'Neonatal hemochromatosis', 'Diabetes Mellitus', 'Macrophage Activation Syndrome', 'cold symptoms', 'Malnutrition', 'Signs and Symptoms', 'Malaise', 'Coughing', 'charmed', 'Clouded consciousness', 'Kidney problem', 'Sore to touch', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Heart Transplantation', 'Administration of antibiotic', 'Transplantation', 'Chemotherapy Regimen', 'Quarantine', 'Administration procedure', 'Revision procedure', 'Lung Transplantation', 'cisplatin/cyclophosphamide/doxorubicin protocol', 'Coronavirus vaccination', 'Spatial guidance for medical procedure', 'Discussion (procedure)', 'Procedures involving the use of pharmaceuticals', 'Booster Immunization - ActSubstanceAdministrationCode', 'Cardiac Lead Procedure', 'Childhood Immunization', 'DRUGS', 'Organ Donation procedure', 'Injection of therapeutic agent', 'Kidney Transplantation', 'Therapeutic tactile stimulation', 'arm injection', 'Vaccination', 'Manipulation procedure', None, None, None, None, None, None, None, None, None, None]",[None]
4,https://connect.mayoclinic.org/discussion/pmr-and-corona-virus-vaccine/,pmr and corona virus (covid-19) vaccine,ncgal @ncgal,292,14612.5,"['Prediabetes syndrome', 'Meckel syndrome type 1', 'PHOTOPAROXYSMAL RESPONSE 1', 'multiple pathologies', 'Terminal illness', 'Herpes zoster disease', 'Giant Cell Arteritis', 'Coronavirus Infections', 'Pneumocystis jiroveci pneumonia', 'Arthritis', 'Erythema', 'Severe chronic obstructive pulmonary disease', 'Infantile Neuroaxonal Dystrophy', 'Adenovirus Infections', 'Autoimmune Diseases', 'Immune System Diseases', 'Asthma', 'Sleep Apnea Syndromes', 'Chromosome 2q32-Q33 Deletion Syndrome', 'Recurrent disease', 'MUNGAN SYNDROME', 'Disease', 'Ache', 'BODY ACHE', 'Tired', 'Shoulder Pain', 'headache severe', 'Excruciating pain', 'Headache', 'Flushing', 'Pain', 'Lightheadedness', 'Nervousness', 'Acute onset fever', 'Nausea', 'Flare', 'Pruritus', 'Dizziness', 'Sore to touch', 'Chills', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Quarantine', 'Administration procedure', 'Influenza vaccination', 'gene therapy', 'Incision and drainage', 'Immunization Schedule', 'Immunization', 'Coronavirus vaccination', 'Spatial guidance for medical procedure', 'Discussion (procedure)', 'cold turkey', 'Childhood Immunization', 'DRUGS', 'Injection of therapeutic agent', 'Interventional procedure', 'Therapeutic tactile stimulation', 'septoplasty', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Prophylactic treatment', 'Vaccination', 'Release (procedure)', None, None, None, None, None, None, None, None, None, None, None]",[None]
5,https://connect.mayoclinic.org/discussion/whats-outside-of-your-picture-window-today/,what's outside of your picture window today?,"john, volunteer mentor @johnbishop",134,6710,"['Punctate inner choroidopathy', 'Digitorenocerebral Syndrome', 'Heparin-induced thrombocytopenia', 'Fish-Eye Disease', 'Common Cold', 'Hemorrhoids', 'Dermatofibrosis lenticularis disseminata', 'Chromosome 2q32-Q33 Deletion Syndrome', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Arthritis', 'Tired', 'Exanthema', 'Hunger', 'Fatigue', 'Circling gait', 'Tremor', 'spells (neurological symptom)', 'Chills', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Childhood Immunization', 'Surgical repair', 'removal technique', 'Injection of therapeutic agent', 'Distraction therapy', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Reminding', 'Exercise Pain Management', 'Therapeutic procedure', 'Discussion (procedure)', 'Removal by grinding', None, None, None, None, None, None, None, None]",[None]
6,https://connect.mayoclinic.org/discussion/covid-19-in-transplant-patients/,covid-19 and transplant patients,jolinda @jolinda,300,15008.33333,"['Infantile Neuroaxonal Dystrophy', 'Chronic Kidney Diseases', 'Digitorenocerebral Syndrome', 'Heparin-induced thrombocytopenia', 'Respiratory Tract Infections', 'Macrophage Activation Syndrome', 'Asthma', 'Upper Respiratory Infections', 'Coronavirus Infections', 'Seizures', 'Shaking of hands', 'gastrointestinal gas', 'Dizziness', 'Catch - Finding of sensory dimension of pain', 'Sore Throat', 'Sore to touch', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Heart Transplantation', 'Elective Surgical Procedures', 'Transplantation', 'Chemotherapy Regimen', 'Quarantine', 'Group reassurance', 'Incision and drainage', 'Therapeutic immunosuppression', 'Discussion (procedure)', 'Removal of kidney from donor', 'Obstetric Delivery', 'Treatment Protocols', 'Kidney Transplantation', 'Therapeutic tactile stimulation', 'Pancreas Transplantation', 'Medical counseling', 'Isolation procedure', 'Gamete Intrafallopian Transfer', None, None, None, None, None, None, None, None, None, None]",[None]
7,https://connect.mayoclinic.org/discussion/hydroxicloriquine-lupus-prednisone-covid19-vaccine/,hydroxicloriquine-lupus-prednisone & covid19 vaccine?,darlia @darlia,12,607.1428571,"['Communicable Diseases', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'Coronavirus Infections', 'Geroderma osteodysplastica', 'Lupus Erythematosus', 'Chronic Kidney Diseases', 'Hashimoto Disease', 'Phlebitis', 'Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'Endometriosis', 'Pneumonia', 'Carpal Tunnel Syndrome', 'Lung Diseases, Interstitial', 'Influenza', 'Staphylococcal Infections', 'Fibromyalgia', 'Chronic Obstructive Airway Disease', 'Gout', 'Lupus Erythematosus, Discoid', 'Thyroid Diseases', 'Degenerative polyarthritis', 'Gonorrhea', 'Axenfeld-Rieger syndrome', 'Allergic disposition', 'Autoimmune Diseases', 'Peripheral Neuropathy', 'Disease', 'Flare', 'spells (neurological symptom)', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Treated with', 'Infusion procedures', 'Dressing of skin or wound', 'Incision and drainage', 'bleomycin/methotrexate/vincristine protocol', 'Discussion (procedure)', 'Procedures involving the use of pharmaceuticals', 'Urgent Procedure', 'Hormone replacement therapy', 'Extraction', '5 minutes Office visit', 'Childhood Immunization', 'Injection of therapeutic agent', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Orthokeratology', None, None, None, None, None, None, None, None, None, None, None, None]",[None]
8,https://connect.mayoclinic.org/discussion/aiha-hemolytic-autoimmune-anemia-and-covid-19-vaccine-reactions-1/,aiha hemolytic autoimmune anemia and covid-19 vaccine reactions,gailiebird @gailiebird,10,506.25,"['Autoimmune hemolytic anemia', 'Common Cold', 'Carpal Tunnel Syndrome', 'Syndrome', 'Simian Acquired Immunodeficiency Syndrome', 'Flare', 'Catch - Finding of sensory dimension of pain', 'Pain', 'Nervousness', None, None, None]","[None, None, None, None, None, None, None, None, None, 'Hepatectomy', 'Vaccination', 'Transfusion (procedure)']",[None]
9,https://connect.mayoclinic.org/discussion/docs-office-postponed-mammogram/,doc's office postponed mammogram,fiesty76 @fiesty76,12,605.5555556,"['Simian Acquired Immunodeficiency Syndrome', 'Gray Platelet Syndrome', 'Signs and Symptoms', None, None, None, None]","[None, None, None, 'Modest-Temperature Hyperthermia', 'Discussion (procedure)', None, None]",[None]
10,https://connect.mayoclinic.org/discussion/vaccine-efficacy-for-those-with-chronic-anxiety-and-mental-illness/,vaccine efficacy for those with chronic anxiety and mental illness,tykehome @tykehome,24,1205,"['Gonorrhea', 'Geroderma osteodysplastica', 'Malignant hyperpyrexia due to anesthesia', ""Little's Disease"", 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Wiskott-Aldrich Syndrome', 'Disease', 'Ache', 'BODY PAIN', 'Sensory Discomfort', 'Tired', 'Sore skin', 'Nausea', 'Fatigue', 'Myalgia', 'Headache', 'Tremor', 'Pain', None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Step ups', 'Injection of therapeutic agent', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', 'Calming', 'Osteogenesis, Distraction', 'Cardiac Lead Procedure', None, None, None, None, None, None]",[None]
